<<<<<<< HEAD
emotion,sleep,exercise,junk_food,risk
positive,8,4,1,low
positive,7,3,2,low
neutral,6,2,3,moderate
negative,5,1,5,high
positive,9,5,1,low
positive,8,3,2,low
positive,7,4,2,low
neutral,7,2,3,moderate
neutral,6,1,4,moderate
neutral,5,2,4,moderate
negative,4,1,6,high
negative,3,0,7,high
negative,5,0,8,high
positive,8,5,0,low
positive,9,4,1,low
neutral,6,3,3,moderate
neutral,5,2,5,moderate
negative,4,1,7,high
negative,2,0,9,high
positive,7,4,1,low
neutral,6,2,4,moderate
negative,3,1,8,high
positive,8,3,1,low
neutral,7,1,4,moderate
negative,5,0,6,high
positive,9,5,0,low
neutral,6,3,4,moderate
negative,4,0,8,high
positive,8,4,2,low
neutral,5,2,3,moderate
negative,3,1,9,high
positive,10,5,0,low
neutral,7,2,2,moderate
negative,2,0,10,high
positive,8,4,1,low
neutral,6,2,5,moderate
negative,4,1,6,high
positive,9,3,1,low
neutral,5,3,4,moderate
negative,3,0,8,high

